,producto,fecha,pais,transporte,kg
130,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-04-01 00:00:00, Dinamarca, Marítimo,27500.0
131,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-05-01 00:00:00, Dinamarca, Marítimo,28000.0
132,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-06-01 00:00:00, Dinamarca, Marítimo,0.0
134,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-01-01 00:00:00, Dinamarca, Carretera,0.0
135,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-02-01 00:00:00, Dinamarca, Carretera,48000.0
136,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-03-01 00:00:00, Dinamarca, Carretera,24375.0
137,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-04-01 00:00:00, Dinamarca, Carretera,93300.0
138,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-05-01 00:00:00, Dinamarca, Carretera,24000.0
139,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-06-01 00:00:00, Dinamarca, Carretera,24000.0
148,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-01-01 00:00:00, Grecia, Carretera,0.0
149,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-02-01 00:00:00, Grecia, Carretera,0.0
150,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-03-01 00:00:00, Grecia, Carretera,71100.0
151,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-04-01 00:00:00, Grecia, Carretera,16250.0
152,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-05-01 00:00:00, Grecia, Carretera,0.0
153,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-06-01 00:00:00, Grecia, Carretera,0.0
162,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-01-01 00:00:00, Portugal (d.01/01/86), Carretera,179748.0
163,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-02-01 00:00:00, Portugal (d.01/01/86), Carretera,58570.0
164,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-03-01 00:00:00, Portugal (d.01/01/86), Carretera,666526.0
165,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-04-01 00:00:00, Portugal (d.01/01/86), Carretera,425571.8
166,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-05-01 00:00:00, Portugal (d.01/01/86), Carretera,344937.0
167,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-06-01 00:00:00, Portugal (d.01/01/86), Carretera,4611550.0
176,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-01-01 00:00:00, Bélgica (d.01/01/99), Marítimo,0.0
177,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-02-01 00:00:00, Bélgica (d.01/01/99), Marítimo,0.0
178,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-03-01 00:00:00, Bélgica (d.01/01/99), Marítimo,0.0
179,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-04-01 00:00:00, Bélgica (d.01/01/99), Marítimo,900.0
